k,inertia,silhouette
5,940460.375,0.13093136250972748
6,902035.875,0.1313529759645462
7,863147.25,0.1333106905221939
8,824069.875,0.14710459113121033
9,794699.4375,0.15591773390769958
10,778441.5625,0.1462160348892212
11,757811.0,0.15616761147975922
12,747148.625,0.15114371478557587
13,730160.875,0.15636049211025238
14,712221.4375,0.16062715649604797
15,697925.25,0.1581510305404663
16,683441.625,0.16394689679145813
17,671584.875,0.16762220859527588
18,663122.125,0.16351594030857086
19,652021.9375,0.1722385585308075
20,643879.3125,0.1708744615316391
21,634344.125,0.1632148027420044
22,626207.875,0.17132063210010529
23,614461.9375,0.1716783195734024
24,611756.75,0.1734129935503006
25,603322.875,0.17972789704799652
